raw,processed,label,score
Kerja sama pemerintah dengan perusahaan farmasi asal Amerika Serikat yaitu Merck terkait obat alternatif Covid-19 Molnupiravir sudah masuk finalisasi.,kerja sama pemerintah dengan perusahaan farmasi asal amerika serikat yaitu merck terkait obat alternatif covid molnupiravir sudah masuk finalisasi,neutral,0.9882718920707703
"Satgas Covid-19 perlu menggencarkan sosialisasi terkait rencana ketersediaan vaksin, jadwal vaksinasi sampai mekanisme pembelian vaksin Covid-19 jalur mandiri.",satgas covid perlu menggencarkan sosialisasi terkait rencana ketersediaan vaksin jadwal vaksinasi sampai mekanisme pembelian vaksin covid jalur mandiri,neutral,0.9983365535736084
Firli disebut memberikan perintah kepada penyidik KPK untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test Covid-19 melalui PT Rajawali Nusantara Indonesia (RNI) #FitnahSprindik,firli disebut memberikan perintah kepada penyidik kpk untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid melalui pt rajawali nusantara indonesia rni,neutral,0.9985482096672058
Melakukan penyidikan dugaan tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan Rapid Test Covid-19 #FitnahSprindik,melakukan penyidikan dugaan tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid,neutral,0.9985761642456055
Penggratisan tak menjamin efektivitas program vaksin Covid-19 karena faktor penolakan sebagian masyarakat berdasarkan pertimbangan religius (halal-haram) juga penolakan berdasarkan pertimbangan keamanan.,penggratisan tidak menjamin efektivitas program vaksin covid karena faktor penolakan sebagian masyarakat berdasarkan pertimbangan religius halal haram juga penolakan berdasarkan pertimbangan keamanan,negative,0.9563387036323547
"Dalam sprindik palsu, Firli disebut memberikan perintah kepada penyidik KPK untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test Covid-19
#FitnahSprindik
FitnahSprindik",dalam sprindik palsu firli disebut memberikan perintah kepada penyidik kpk untuk melakukan penyidikan terkait penerimaan hadiah atau janji kepada pegawa negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid fitnahsprindik,neutral,0.9984834790229797
"Dlm sprindik palsu yg dilihat,ketua kpk disebut memberikan perintah kepada penyidik KPK untuk melakukan penyidikan terkait penerimaan hadiah/janji kpd pegawa negeri/penyelenggara negara terkait pengadaan alat kesehatan rapid Covid-19 melalui PT Rajawali Nusantara 
#FitnahSprindik",dalam sprindik palsu yang dilihat ketua kpk disebut memberikan perintah kepada penyidik kpk untuk melakukan penyidikan terkait penerimaan hadiah janji kepada pegawa negeri penyelenggara negara terkait pengadaan alat kesehatan rapid covid melalui pt rajawali nusantara,neutral,0.9985465407371521
Berita Hoax oleh oknum jahat serang Erick terkait kasus korupsi perihal penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan Rapid Test Covid-19 #FitnahSpindik,berita isu bohong oleh oknum jahat serang erick terkait kasus korupsi perihal penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid,neutral,0.992057740688324
Dg diadakan penyidikan yg menduga tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan Rapid Test Covid-19 #FitnahSprindik,dengan diadakan penyidikan yang menduga tindak pidana korupsi penerimaan hadiah atau janji kepada pegawai negeri atau penyelenggara negara terkait pengadaan alat kesehatan rapid test covid,neutral,0.9980880618095398
"Wali Kota Kediri Abdullah Abu Bakar meminta semua pihak ikut sosialisasi terkait dengan penerapan protokol kesehatan menyusul jumlah kasus COVID-19 di Kota Kediri, Jawa Timur, yang semakin meningkat.",wali kota kediri abdullah abu bakar meminta semua pihak ikut sosialisasi terkait dengan penerapan protokol kesehatan menyusul jumlah kasus covid di kota kediri jawa timur yang semakin meningkat,neutral,0.9983022212982178
"Wah, bang Poltak, isunya harusnya lebih besar
Saya cukup kecewa ngeliat tweet dukungan abang terkait beberapa kebijakan pemerintah
Isunya adalah Negara hadir dengan berkemauan memberikan vaksin gratis bagi rakyatnya
Jika berbayar, lantas di mana posisi Negara? Broker?",wah mas poltak isunya harusnya lebih besar saya cukup kecewa melihat tweet dukungan abang terkait beberapa kebijakan pemerintah isunya adalah negara hadir dengan berkemauan memberikan vaksin gratis bagi rakyatnya jika berbayar lantas di mana posisi negara broker,negative,0.9997350573539734
"Satgas Penanganan COVID-19 meminta rumah sakit untuk menghentikan promosi kepada masyarakat terkait layanan pemesanan awal (pre-order) vaksin COVID-19, karena hingga saat ini pemerintah belum secara resmi memulai program vaksinasi.",satgas penanganan covid meminta rumah sakit untuk menghentikan promosi kepada masyarakat terkait layanan pemesanan awal pre order vaksin covid karena hingga saat ini pemerintah belum secara resmi memulai program vaksinasi,neutral,0.9966841340065002
